fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,color_hue,Age
"10,3729451124309","0,7",0,"1,9",76,11,34,"0,9978","3,51","0,56","9,4",5,15
"9,32846072267732","0,88",0,"2,6",98,25,67,"0,9968","3,2","0,68","9,8",5,13
"9,5949801997539","0,76","0,04","2,3",92,15,54,997,"3,26","0,65","9,8",5,12
"10,8723795304885","0,28","0,56","1,9",75,17,60,998,"3,16","0,58","9,8",6,18
"10,029247902707","0,7",0,"1,9",76,11,34,"0,9978","3,51","0,56","9,4",5,17
"10,8944862656001","0,66",0,"1,8",75,13,40,"0,9978","3,51","0,56","9,4",5,18
"9,29353239192115","0,6","0,06","1,6",69,15,59,"0,9964","3,3","0,46","9,4",5,15
"12,3036436711146","0,65",0,"1,2",65,15,21,"0,9946","3,39","0,47",10,7,30
"12,3969051617206","0,58","0,02",2,73,9,18,"0,9968","3,36","0,57","9,5",7,29
"9,85931498576025","0,5","0,36","6,1",71,17,102,"0,9978","3,35","0,8","10,5",5,12
"10,0699320595359","0,58","0,08","1,8",97,15,65,"0,9959","3,28","0,54","9,2",5,14
"9,45712163022801","0,5","0,36","6,1",71,17,102,"0,9978","3,35","0,8","10,5",5,18
"10,3256782331919","0,615",0,"1,6",89,16,59,"0,9943","3,58","0,52","9,9",5,17
"10,0198960930577","0,61","0,29","1,6",114,9,29,"0,9974","3,26","1,56","9,1",5,14
"9,01594455450977","0,62","0,18","3,8",176,52,145,"0,9986","3,16","0,88","9,2",5,14
"10,1049121978138","0,62","0,19","3,9","0,17",51,148,"0,9986","3,17","0,93","9,2",5,18
"12,0284230815742","0,28","0,56","1,8",92,35,103,"0,9969","3,3","0,75","10,5",7,25
"10,0153081077252","0,56","0,28","1,7",368,16,56,"0,9968","3,11","1,28","9,3",5,17
"9,85674617221405","0,59","0,08","4,4",86,6,29,"0,9974","3,38","0,5",9,4,7
"11,3214720315204","0,32","0,51","1,8",341,17,56,"0,9969","3,04","1,08","9,2",6,17
"11,3255649415698","0,22","0,48","1,8",77,29,60,"0,9968","3,39","0,53","9,4",6,19
"10,7779593072824","0,39","0,31","2,3",82,23,71,"0,9982","3,52","0,65","9,7",5,12
"10,334222993642","0,43","0,21","1,6",106,10,37,"0,9966","3,17","0,91","9,5",5,17
"9,76518501848809","0,49","0,11","2,3",84,9,67,"0,9968","3,17","0,53","9,4",5,13
"11,0113679791062","0,4","0,14","2,4",85,21,40,"0,9968","3,43","0,63","9,7",6,17
"9,68952878278636","0,39","0,16","1,4","0,08",11,23,"0,9955","3,34","0,56","9,3",5,16
"9,78922824448196","0,41","0,24","1,8","0,08",4,11,"0,9962","3,28","0,59","9,5",5,12
"9,9939183936318","0,43","0,21","1,6",106,10,37,"0,9966","3,17","0,91","9,5",5,17
"10,1973394397329","0,71",0,"1,9","0,08",14,35,"0,9972","3,47","0,55","9,4",5,14
"10,5635198305163","0,645",0,2,82,8,16,"0,9964","3,38","0,59","9,8",6,16
"10,1835408587725","0,675","0,07","2,4",89,17,82,"0,9958","3,35","0,54","10,1",5,13
"11,7376439151137","0,685",0,"2,5",105,22,37,"0,9966","3,46","0,57","10,6",6,15
"10,3367705726191","0,655","0,12","2,3",83,15,113,"0,9966","3,17","0,66","9,8",5,16
"11,3809862358753","0,605","0,12","10,7",73,40,83,"0,9993","3,45","0,52","9,4",6,17
"9,78361061433912","0,32","0,25","1,8",103,13,50,"0,9957","3,38","0,55","9,2",5,18
"10,8294894868803","0,645",0,"5,5",86,5,18,"0,9986","3,4","0,55","9,6",6,18
"10,2915252829237","0,6","0,14","2,4",86,3,15,"0,9975","3,42","0,6","10,8",6,20
"12,7448465325939","0,38","0,28","2,1",66,13,30,"0,9968","3,23","0,73","9,7",7,30
"9,31614426294179","1,13","0,09","1,5",172,7,19,"0,994","3,5","0,48","9,8",4,9
"10,1780763237788","0,45","0,36","5,9",74,12,87,"0,9978","3,33","0,83","10,5",5,15
"9,67889212418532","0,45","0,36","5,9",74,12,87,"0,9978","3,33","0,83","10,5",5,17
"9,48073425970084","0,61","0,3","2,8",88,17,46,"0,9976","3,26","0,51","9,3",4,8
"10,2513611069769","0,49","0,2","2,6",332,8,14,"0,9968","3,21","0,9","10,5",6,20
"10,6044584224157","0,66","0,22","2,2",69,9,23,"0,9968","3,3","1,2","10,3",5,17
"10,9169211997716","0,67","0,02","1,8","0,05",5,11,"0,9962","3,48","0,52","9,5",5,13
"9,09133956353199","0,52","0,15","2,1",54,8,65,"0,9934","3,9","0,56","13,1",4,8
"9,8630467622652","0,935","0,43","2,2",114,22,114,997,"3,25","0,73","9,2",5,15
"9,18212180921086","0,29","0,52","1,6",113,12,37,"0,9969","3,25","0,58","9,5",5,12
"9,0059283746002","0,4","0,23","1,6",66,5,12,"0,9958","3,34","0,56","9,2",5,13
"10,0716620114043","0,31","0,37","1,4",74,12,96,"0,9954","3,32","0,58","9,2",5,16
"10,8570762331622","0,66","0,26","1,7",74,4,23,"0,9971","3,15","0,74","9,2",5,15
"10,048395614378","0,52","0,04","2,2",69,8,15,"0,9956","3,4","0,63","9,4",6,19
"11,9245167092162","0,5","0,04","2,1",68,6,14,"0,9955","3,39","0,64","9,4",6,17
"9,98953913832453","0,38","0,36",3,81,30,119,997,"3,2","0,56","9,4",5,15
"10,6996886852729","0,51","0,15","2,8","0,11",33,73,"0,9955","3,17","0,63","10,2",6,19
"9,87020868074757","0,62","0,04","3,8",84,25,45,"0,9978","3,34","0,53","9,5",5,13
"10,3823361340217","0,42","0,57","3,4","0,07",4,10,"0,9971","3,04","0,63","9,6",5,14
"9,08843856092692","0,63","0,12","5,1",111,50,110,"0,9983","3,26","0,77","9,4",5,17
"9,34436773418672","0,59","0,18","2,3",76,17,54,"0,9975","3,43","0,59",10,5,13
"11,7804990625502","0,39","0,31","2,4",74,9,46,"0,9962","3,41","0,54","9,4",6,20
"9,28574338891166","0,4","0,4","2,2",79,19,52,998,"3,44","0,64","9,2",5,14
"10,0923143712945","0,69","0,49","1,8",115,20,112,"0,9968","3,21","0,71","9,3",5,14
"12,1211357942339","0,52","0,16","1,9",85,12,35,"0,9968","3,38","0,62","9,5",7,26
"9,00895006327958","0,735","0,05",2,81,13,54,"0,9966","3,39","0,57","9,8",5,12
"10,564096236013","0,725","0,05","4,65",86,4,11,"0,9962","3,41","0,39","10,9",5,17
"10,959689853527","0,725","0,05","4,65",86,4,11,"0,9962","3,41","0,39","10,9",5,14
"9,38599220434213","0,52","0,11","1,5",79,11,39,"0,9968","3,42","0,58","9,6",5,12
"10,741976466806","0,705","0,07","1,6",76,6,15,"0,9962","3,44","0,58","10,7",5,14
"10,6217871534664","0,32","0,57",2,74,27,65,"0,9969","3,28","0,79","10,7",5,12
"10,5338001102982","0,705","0,05","1,9",74,8,19,"0,9962","3,34","0,95","10,5",6,20
"11,9290571873661","0,63","0,08","1,9",76,15,27,"0,9967","3,32","0,54","9,5",6,16
"9,02167142043297","0,67","0,23","2,1",88,17,96,"0,9962","3,32","0,48","9,5",5,13
"10,8215359299411","0,69","0,22","1,9",84,18,94,"0,9961","3,31","0,48","9,5",5,17
"9,79878349524366",675,"0,26","2,1",84,11,43,"0,9976","3,31","0,53","9,2",4,11
"10,1912795630118","0,32","0,54","2,5",94,28,83,"0,9984","3,28","0,82","9,6",5,15
"10,0160444597224","0,41","0,64","2,2",93,9,42,"0,9986","3,54","0,66","10,5",5,13
"10,0420279929179","0,41","0,64","2,2",93,9,42,"0,9986","3,54","0,66","10,5",5,18
"10,2849075414605",785,0,"2,4",104,14,30,"0,9966","3,52","0,55","10,7",6,17
"9,8528285459247","0,75","0,12",2,86,12,80,"0,9958","3,38","0,52","10,1",5,14
"9,43236340876971",625,"0,2","1,5","0,08",27,119,"0,9972","3,16","1,12","9,1",4,7
"9,30098643424065","0,45","0,2","1,6",69,3,15,"0,9958","3,41","0,56","9,2",5,15
"9,83343206342997","0,43","0,7","1,9",464,22,67,"0,9974","3,13","1,28","9,4",5,16
"9,91591070024299","0,5","0,47",2,86,21,73,997,"3,36","0,57","9,1",5,16
"9,69475267691104","0,67","0,26","1,8",401,16,51,"0,9969","3,16","1,14","9,4",5,14
"11,8603146660377","0,3","0,48","1,8",69,18,61,"0,9959","3,44","0,78","10,3",6,15
"9,49293676052905","0,55","0,15","2,2",76,19,40,"0,9961","3,41","0,59","10,1",5,13
"10,1090450728124","0,49","0,28","1,9","0,11",20,136,"0,9972","2,93","1,95","9,9",6,15
"9,98262674928612","0,49","0,26","1,9",62,9,31,"0,9966","3,39","0,64","9,6",5,16
"10,6138662260941","0,39","0,44","2,1",107,34,125,"0,9978","3,14","1,22","9,5",5,17
"9,78195297421715","0,62","0,08","1,8",76,8,24,"0,9978","3,48","0,53",9,5,15
"10,0885708520807","0,52","0,26","1,9",79,42,140,"0,9964","3,23","0,54","9,5",5,16
"11,0022548209718","0,49","0,28","1,9","0,11",20,136,"0,9972","2,93","1,95","9,9",6,20
"10,180456439585","0,49","0,29",2,"0,11",19,133,"0,9972","2,93","1,98","9,8",5,12
"10,8755693017337","0,49","0,26","1,9",62,9,31,"0,9966","3,39","0,64","9,6",5,17
"9,32390118178061","1,02","0,04","1,4",45,41,85,"0,9938","3,75","0,48","10,5",4,7
"11,4791467741684","0,6","0,17","2,3",58,17,106,"0,9932","3,85","0,6","12,9",6,17
"9,09733841033261",775,0,3,102,8,23,"0,9965","3,45","0,56","10,7",5,15
"10,1289036639195","0,5","0,25",2,"0,07",3,22,"0,9963","3,25","0,63","9,2",5,17
"9,38443156489215","0,9","0,06","2,5",79,5,10,"0,9967","3,39","0,56","9,8",5,13
"10,1975948399392",545,"0,18","1,9","0,08",13,35,"0,9972","3,3","0,59",9,6,19
"10,1707201596193","0,61","0,3","2,1",84,11,50,"0,9972","3,4","0,61","10,2",6,16
"10,2769279911749","0,5","0,3","1,9",75,8,22,"0,9959","3,31","0,56","10,4",6,16
"11,2217213159344",545,"0,18","1,9","0,08",13,35,"0,9972","3,3","0,59",9,6,15
"10,3694788805048",575,"0,22","2,1",77,12,65,"0,9967","3,29","0,51","9,2",5,12
"9,46334859993959","0,49","0,24","2,2","0,07",5,36,996,"3,33","0,48","9,4",5,14
"10,9158853684425",575,"0,22","2,1",77,12,65,"0,9967","3,29","0,51","9,2",5,13
"9,28751508182229","0,41","0,68","1,7",467,18,69,"0,9973","3,08","1,31","9,3",5,15
"9,2995036374743","0,63","0,31","1,7",88,15,64,"0,9969","3,46","0,79","9,3",5,17
"10,9995506203853","0,33","0,53","2,5",91,18,80,"0,9976","3,37","0,8","9,6",6,17
"9,79819123932361",785,"0,52",2,122,37,153,"0,9969","3,21","0,69","9,3",5,13
